iter	Passed	Remaining
0	1	145
1	3	154
2	4	142
3	5	131
4	6	129
5	8	128
6	9	129
7	11	127
8	12	124
9	13	124
10	15	122
11	16	121
12	17	118
13	18	114
14	20	113
15	21	110
16	22	110
17	23	108
18	25	106
19	26	105
20	27	103
21	28	100
22	29	98
23	30	97
24	31	95
25	32	93
26	33	91
27	34	89
28	36	89
29	38	88
30	39	87
31	40	85
32	41	83
33	42	82
34	43	80
35	44	79
36	45	78
37	46	76
38	48	75
39	49	73
40	50	72
41	50	70
42	52	70
43	54	69
44	56	68
45	57	67
46	58	65
47	59	63
48	59	62
49	60	60
50	61	59
51	62	57
52	64	57
53	65	55
54	66	54
55	67	53
56	68	51
57	70	50
58	71	49
59	73	48
60	73	47
61	75	46
62	76	44
63	76	43
64	77	41
65	79	40
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	100	19
84	100	17
85	101	16
86	103	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	7
94	110	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
