iter	Passed	Remaining
0	127	127124
1	129	64747
2	131	43734
3	134	33397
4	137	27272
5	139	23089
6	142	20173
7	144	17916
8	146	16176
9	150	14881
10	152	13716
11	154	12730
12	156	11907
13	158	11176
14	160	10557
15	163	10046
16	165	9568
17	168	9170
18	170	8784
19	171	8396
20	172	8042
21	173	7720
22	174	7415
23	175	7133
24	176	6875
25	179	6710
26	180	6521
27	182	6324
28	184	6162
29	185	6001
30	187	5848
31	188	5697
32	189	5553
33	190	5413
34	191	5290
35	194	5199
36	196	5106
37	197	5012
38	200	4939
39	201	4845
40	203	4749
41	204	4659
42	205	4570
43	206	4494
44	209	4443
45	211	4390
46	213	4329
47	215	4275
48	217	4213
49	218	4144
50	219	4080
51	220	4023
52	223	3985
53	225	3948
54	227	3910
55	229	3871
56	231	3821
57	232	3772
58	233	3720
59	234	3675
60	235	3629
61	237	3595
62	239	3568
63	242	3539
64	243	3505
65	245	3471
66	246	3431
67	247	3391
68	248	3354
69	249	3317
70	250	3283
71	252	3252
72	254	3233
73	256	3204
74	257	3177
75	259	3156
76	260	3123
77	261	3093
78	262	3063
79	263	3033
80	264	3004
81	267	2997
82	268	2968
83	270	2947
84	271	2927
85	274	2914
86	275	2889
87	276	2864
88	277	2839
89	278	2813
90	279	2788
91	280	2767
92	282	2759
93	284	2746
94	286	2730
95	288	2716
96	289	2697
97	290	2676
98	291	2656
99	292	2636
100	293	2616
101	295	2597
102	296	2583
103	299	2577
104	300	2564
105	302	2552
106	304	2540
107	305	2522
108	306	2502
109	307	2487
110	308	2470
111	309	2452
112	311	2447
113	313	2437
114	315	2427
115	316	2414
116	318	2400
117	319	2386
118	320	2370
119	320	2353
120	321	2338
121	322	2321
122	323	2309
123	326	2305
124	328	2298
125	330	2289
126	331	2277
127	333	2270
128	334	2260
129	335	2248
130	337	2237
131	338	2225
132	340	2217
133	342	2215
134	344	2209
135	346	2199
136	347	2188
137	348	2178
138	349	2166
139	350	2155
140	352	2144
141	352	2131
142	353	2120
143	357	2123
144	358	2116
145	360	2107
146	362	2102
147	363	2093
148	364	2082
149	365	2071
150	366	2060
151	367	2049
152	368	2039
153	371	2041
154	373	2036
155	375	2030
156	377	2027
157	379	2020
158	380	2010
159	381	2002
160	382	1992
161	383	1982
162	384	1975
163	387	1973
164	389	1968
165	390	1962
166	392	1956
167	393	1949
168	394	1940
169	395	1932
170	396	1923
171	397	1914
172	399	1907
173	401	1907
174	403	1901
175	404	1895
176	406	1891
177	407	1883
178	409	1876
179	410	1868
180	410	1859
181	411	1851
182	413	1846
183	416	1845
184	417	1839
185	419	1834
186	420	1830
187	422	1822
188	423	1815
189	424	1810
190	425	1804
191	426	1796
192	427	1789
193	430	1789
194	432	1783
195	433	1779
196	435	1776
197	437	1771
198	438	1764
199	439	1757
200	440	1751
201	441	1745
202	443	1739
203	445	1738
204	447	1733
205	448	1728
206	450	1724
207	452	1721
208	452	1714
209	453	1707
210	455	1701
211	456	1695
212	457	1688
213	458	1682
214	460	1682
215	462	1678
216	463	1673
217	465	1669
218	466	1665
219	467	1659
220	469	1653
221	470	1647
222	471	1642
223	472	1637
224	474	1635
225	476	1633
226	478	1629
227	479	1624
228	481	1619
229	482	1613
230	483	1607
231	483	1602
232	484	1596
233	485	1590
234	487	1585
235	489	1585
236	491	1582
237	492	1578
238	494	1573
239	495	1569
240	496	1564
241	498	1560
242	499	1556
243	501	1552
244	503	1552
245	505	1548
246	506	1545
247	508	1541
248	509	1537
249	511	1534
250	512	1530
251	514	1526
252	515	1521
253	517	1519
254	519	1517
255	520	1513
256	522	1510
257	524	1507
258	525	1502
259	526	1498
260	527	1493
